,name,partNumber,price,url
15,"GM O.E. Replacement 5.7L Vortec 350 1/2 ton Truck/SUV Crate Engine,Related Products ",Part Number: 12681432,"$2,000.44",https://www.karlkustoms.com/p/12681432-5-7L-350-GM-OE-Replacement-L31-Vortec-Truck-Crate-Engine/46909
16,6.2L Gen IV 379 CID GM Engine,Part Number: 19329865,"$6,263.82",https://www.karlkustoms.com/p/19329865-6-2L-Gen-IV-379-CID-GM-Engine-2007-2008/46566
0,19355658 - Chevrolet Performance SBC 350CID 290HP Base Long Block Crate Engine,"19355658,19355658","  $2,504.40",https://paceperformance.com/i-6255330-19355658-chevrolet-performance-sbc-350cid-290hp-base-long-block-crate-engine.html
1,"12681430 - 5.7L 350Cid (Lo5-K) 1987-1995 Chevy & Gmc Full Size Trucks & ""G""  Van-Up To 7,200 Gvw","12681430,12681430","  $2,099.99",https://paceperformance.com/i-6485019-12681430-5-7l-350cid-lo5-k-1987-1995-chevy-gmc-full-size-trucks-g-van-up-to-7200-gvw.html
2,"12681430 - 5.7L 350Cid (Lo5-K) 1987-1995 Chevy & Gmc Full Size Trucks & ""G""  Van-Up To 7,200 Gvw","12681430,12681430","  $2,099.99",https://paceperformance.com/i-6485019-12681430-5-7l-350cid-lo5-k-1987-1995-chevy-gmc-full-size-trucks-g-van-up-to-7200-gvw.html
3,12530283 - New Gm 1996 - 2000 5.7L 350 Cid (Vin R) 3/4 & 1 Ton Replacement Engine,"12530283,12530283","  $2,069.88",https://paceperformance.com/i-23836612-12530283-new-gm-1996-2000-5-7l-350-cid-vin-r-3-4-1-ton-replacement-engine.html
4,12681432 - New Gm 1996 - 2000 5.7L 350 Cid (Vin R) Replacement Engine,"12681432,12681432","  $2,019.88",https://paceperformance.com/i-23836611-12681432-new-gm-1996-2000-5-7l-350-cid-vin-r-replacement-engine.html
5,10066039 - Replacement Gm Oil Pan For 10067353 Universal 350 Engine,"10066039,10066039",  $139.42,https://paceperformance.com/i-6218525-10066039-replacement-gm-oil-pan-for-10067353-universal-350-engine.html
6,"12632260 - New Gm 2010 - 2013 5.3L, 323 Cid, 8 Cylinder Engine","12632260,12632260","  $3,554.28",https://paceperformance.com/i-5135038-12632260-new-gm-2010-2013-5-3l-323-cid-8-cylinder-engine.html
7,19329865 - Engine,"19329865,19329865","  $3,961.92",https://paceperformance.com/i-23837802-19329865-engine.html
8,19331650 - Remanufactured Engine,"19331650,19331650","  $3,800.00",https://paceperformance.com/i-23849780-19331650-remanufactured-engine.html
9,name,partNumber,price,url
10,"12681430 - 5.7L 350Cid (Lo5-K) 1987-1995 Chevy & Gmc Full Size Trucks & ""G""  Van-Up To 7,200 Gvw","12681430,12681430","  $2,099.99",https://paceperformance.com/i-6485019-12681430-5-7l-350cid-lo5-k-1987-1995-chevy-gmc-full-size-trucks-g-van-up-to-7200-gvw.html
11,"12681430 - 5.7L 350Cid (Lo5-K) 1987-1995 Chevy & Gmc Full Size Trucks & ""G""  Van-Up To 7,200 Gvw","12681430,12681430","  $2,099.99",https://paceperformance.com/i-6485019-12681430-5-7l-350cid-lo5-k-1987-1995-chevy-gmc-full-size-trucks-g-van-up-to-7200-gvw.html
12,12681432 - New Gm 1996 - 2000 5.7L 350 Cid (Vin R) Replacement Engine,"12681432,12681432","  $2,019.88",https://paceperformance.com/i-23836611-12681432-new-gm-1996-2000-5-7l-350-cid-vin-r-replacement-engine.html
13,10066039 - Replacement Gm Oil Pan For 10067353 Universal 350 Engine,"10066039,10066039",  $139.42,https://paceperformance.com/i-6218525-10066039-replacement-gm-oil-pan-for-10067353-universal-350-engine.html
14,12530283 - New Gm 1996 - 2000 5.7L 350 Cid (Vin R) 3/4 & 1 Ton Replacement Engine,"12530283,12530283","  $2,069.88",https://paceperformance.com/i-23836612-12530283-new-gm-1996-2000-5-7l-350-cid-vin-r-3-4-1-ton-replacement-engine.html
15,19355658 - Chevrolet Performance SBC 350CID 290HP Base Long Block Crate Engine,"19355658,19355658","  $2,504.40",https://paceperformance.com/i-6255330-19355658-chevrolet-performance-sbc-350cid-290hp-base-long-block-crate-engine.html
16,19329865 - Engine,"19329865,19329865","  $3,961.92",https://paceperformance.com/i-23837802-19329865-engine.html
17,19331650 - Remanufactured Engine,"19331650,19331650","  $3,800.00",https://paceperformance.com/i-23849780-19331650-remanufactured-engine.html
18,"12632260 - New Gm 2010 - 2013 5.3L, 323 Cid, 8 Cylinder Engine","12632260,12632260","  $3,554.28",https://paceperformance.com/i-5135038-12632260-new-gm-2010-2013-5-3l-323-cid-8-cylinder-engine.html
0,Chevrolet Performance 19355658 SBC 350/290 HP LB Crate Engine,Part # 35519355658,"
                    ,2,504.99
                ","https://www.speedwaymotors.com/Chevrolet-Performance-19355658-SBC-350-290-HP-LB-Crate-Engine,330742.html"
1,"GM 12530282 Replacement Vortec 350 L31 Crate Engine, 1996-02",Part # 35512530282,"
                    ,2,018.99
                ","https://www.speedwaymotors.com/GM-12530282-Replacement-Vortec-350-L31-Crate-Engine-1996-02,330665.html"
2,GM 12681429 Replacement Base Truck 350/5.7 Crate Engine,Part # 35512681429,"
                    ,2,033.99
                ","https://www.speedwaymotors.com/GM-12681429-Replacement-Base-Truck-350-5-7-Crate-Engine,330667.html"
3,name,partNumber,price,url
4,Chevrolet Performance 19355658 SBC 350/290 HP LB Crate Engine,Part # 35519355658,"
                    ,2,504.99
                ","https://www.speedwaymotors.com/Chevrolet-Performance-19355658-SBC-350-290-HP-LB-Crate-Engine,330742.html"
5,GM 12681429 Replacement Base Truck 350/5.7 Crate Engine,Part # 35512681429,"
                    ,2,033.99
                ","https://www.speedwaymotors.com/GM-12681429-Replacement-Base-Truck-350-5-7-Crate-Engine,330667.html"
6,"GM 12530282 Replacement Vortec 350 L31 Crate Engine, 1996-02",Part # 35512530282,"
                    ,2,018.99
                ","https://www.speedwaymotors.com/GM-12530282-Replacement-Vortec-350-L31-Crate-Engine-1996-02,330665.html"
